评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Jen,Amazing,https://www.amazon.com/gp/customer-reviews/R1XL0C1PBW5PAI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," January 20, 2025",,Verified Purchase,"These barefoot are amazing I take them hiking.They are super lightweight, very functional and amazing part of these shoes when hiking doesn’t slip . Super easy to clean, I just put them in the washer gentle clean they stay looking amazing as if I never went hiking.I really love the color I choose was camouflage. They are true to size I usually fit in a size 6 and I picked 5.5-6 and it fit perfect no need to size down or size up.",
joyce w,Perfect,https://www.amazon.com/gp/customer-reviews/R213RTSIIQ1EQ9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," July 30, 2024",Size: 10Color: W21v2 | All Black,Verified Purchase,I loved the generous toe box of these shoes,
Sandra,Love these shoes.,https://www.amazon.com/gp/customer-reviews/RHOIQWQONG75Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," July 30, 2024",Size: 10Color: W21v2 | All Black,Verified Purchase,"Can be worn on a treadmill, walking, running and light hiking.  Very comfortable!",
Keya,Sooo comfy,https://www.amazon.com/gp/customer-reviews/R3R8528UFKAHR4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," July 29, 2024",Size: 10.5-11Color: W21v2 | Pink,Verified Purchase,"I am in love with these shoes! Just got them about a week ago so I’ve been wearing them in different situations to see how they feel. I wore them to a convention where I was on my feet for over eight hours and my feet never hurt! I also like these shoes because they have a wide toebox. I have narrow feet, but I have long toes so I find the shoes are very comfortable.",
Bryce Peterson,I love them,https://www.amazon.com/gp/customer-reviews/R2TQ2WPLD4EP1W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," July 25, 2024",Size: 6.5-7Color: W21v2 | Black,Verified Purchase,"Súper confortable, and great for doing exercise. They last longer and affordable. 10/10",
Claudia,Very comfortable!,https://www.amazon.com/gp/customer-reviews/R1NCDSPS2TFOY2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," July 25, 2024",Size: 6.5-7Color: W21v2 | Camouflage,Verified Purchase,"I like them! Look good, feel good! Comfortable to walk. Thank you",
A. D.,I dig these,https://www.amazon.com/gp/customer-reviews/R3WSPPE3ZK2MF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," July 22, 2024",Size: 10.5-11Color: W21v2 | All Black,Verified Purchase,"I've tried a few pair and these are the nicest so far. they have a good fit, a great open feeling, and they do support the foot just fine. I am not a runner, but for every day use i like them better than the others.",
SB,Difficult to get them on,https://www.amazon.com/gp/customer-reviews/R28OG55UB47IEG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," July 22, 2024",Size: 6.5-7Color: W21v2 | Black,Verified Purchase,"These are really comfortable to wear, but very difficult to get on. The rim around the ankle is very tight. I gave them a snip around the top we'll see if that helps.",
Terri,Very comfy but hard for elderly to get on,https://www.amazon.com/gp/customer-reviews/RR59K88VMCWH5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," July 21, 2024",Size: 9-9.5Color: W21v2 | Pink,Verified Purchase,"I bought these for my elderly mom, but the opening of the shoe is too hard to get into for a senior with sensitive feet. So, I’m wearing them and they are great. I normally wear 8.5-9. I got the 9-9.5 and it’s perfect.",2
MEK57,Sadly returned,https://www.amazon.com/gp/customer-reviews/R2PEHDAEY7SZI6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," July 20, 2024",Size: 6.5-7Color: W21v2 | Camouflage,Verified Purchase,"I really loved the look of these.  The color was exactly what I wanted and they appeared to be well made.  I ordered them in 2 sizes.  Unfortunately one felt a little too big and the other size felt a bit too small.  Neither fit well enough to be comfortable, so I sadly had to return them.  I still gave them 5 stars because if you are lucky enough to get a good fit,  they are awesome!",
tararizer23,I want to buy 5 pairs in case they ever discontinue these!,https://www.amazon.com/gp/customer-reviews/R22W7DA6SWGGJ0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," July 18, 2024",Size: 8.5Color: W21v2 | Camouflage,Verified Purchase,"I've tried on so many river shoes over the years, and these are the most comfortable, solid, stylish, grippy ones I've ever had. I wear an 8.5 and ordered 8.5 which fits very comfortably. I also got a great deal on them during Amazon Prime days, so I wish I would've ordered five pairs because they are aMAZing!",13
Monie,Light and comfortable,https://www.amazon.com/gp/customer-reviews/R2CUX7090HXJE7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," July 17, 2024",Size: 7.5-8Color: W21v2 | Pink,Verified Purchase,These are so comfortable. Very happy with my purchase. 😊,
ReneColo,COMFORTABLE,https://www.amazon.com/gp/customer-reviews/R2TGT8A9ZF54EJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," July 15, 2024",Size: 6.5-7Color: W21v2 | Pink,Verified Purchase,I am loving the feel and fit.,
Katrina,Great shoes,https://www.amazon.com/gp/customer-reviews/R320FP1WLYOLKG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," July 14, 2024",Size: 8.5Color: W21v2 | All Black,Verified Purchase,"I love these, they have been helping my feet and are sooooo much more comfortable than regular tennis shoes. I wear them to work (custodian) and I do lots of walking, they are holding up great! Easy to clean and very breathable. My foot pain has practically disappeared since I got these. They're a little bit to get used to look and feel wise but I love them and have had people ask me about them too. I wouldn't say they're 100% waterproof but they do a decent job. If you're on the fence just buy them already even just to try them out! The only issue I have with them is that they're just slightly tight at the rubber band that the laces go into. Other than that I've had no issues since buying them",25
Bethany,My feet love them,https://www.amazon.com/gp/customer-reviews/RMFK3OWEA6SGN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," July 11, 2024",Size: 10Color: W21v2 | All Black,Verified Purchase,Would like to buy more expensive barefoot shoes but these work great for now! Don’t expect them to be cushioned normal shoes. They are barefoot shoes for a reason but are good ones at that. :),
mona l johns,"The hole for your foot to fit through is super small, you have to force your foot into it",https://www.amazon.com/gp/customer-reviews/R2AOJX1IOY0G5B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"1.0 "," the United States "," July 11, 2024",Size: 7.5-8Color: W21v2 | All Black,Verified Purchase,"Heavier than what I expected, hole is so small you have to force your foot into them",
Valencia Rodriguez,I love these shoes!,https://www.amazon.com/gp/customer-reviews/RMYMZ03WCDEDR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," July 9, 2024",Size: 10Color: W21v2 | Camouflage,Verified Purchase,I needed a shoe for the pool or for washing the car or being outside doing yard work that was rugged and light and easy to clean.  This is such a great fitting shoe.  Love the tread on it.  Feels very stable on my foot and provides ample cushion without being too tight.  I wore them to the pool but did not go I. With them on but I think these would be ideal for boaters or watercraft at the lake or days at the beach.  They are attractive and more secure than a flip flop and provide protection for your entire foot without being a bulky sneaker.  I think they are comfortable enough to use on camping trips and moderate hiking as well.  Just so well made for the price.  Very happy with my purchase and highly recommend!  They fit like a glove and I have not had any issues so far.,61
Emma Burkholder,Comfortable,https://www.amazon.com/gp/customer-reviews/R1HAB1B1YIZ4ZW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," July 8, 2024",Size: 7.5-8Color: W21v2 | Camouflage,Verified Purchase,These are soooo comfortable. Love the camouflage.,
J’s Music,Really Comfortable,https://www.amazon.com/gp/customer-reviews/RUQ337B5IM745/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," July 7, 2024",Size: 6.5-7Color: W21v2 | Black,Verified Purchase,"I have narrow feet and even though there’s extra room in the toe area, it still fits well because you can tighten around where the arch is. Also, I have planters fasciitis and my feet were very comfortable even after hiking for over 4 miles.",
Paula g Martinez,great comfort,https://www.amazon.com/gp/customer-reviews/R3QW8ZMG9XAXSQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," June 26, 2024",Size: 8.5Color: W21v2 | All Black,Verified Purchase,my shoes are so comfortable,
Barbara Millis,"Very flat, like slippers",https://www.amazon.com/gp/customer-reviews/R1SN3XTO0BMS68/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"1.0 "," the United States "," June 24, 2024",Size: 7.5-8Color: W21v2 | All Black,Verified Purchase,These did not feel any better than any slip on water shoe from discount store.  I returned them.,
Christa S.,Ok I Like them!!!!,https://www.amazon.com/gp/customer-reviews/R10J5IZBYEGG7T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," June 17, 2024",Size: 7.5-8Color: W21v2 | All Black,Verified Purchase,I just received these and my feet screamed with joy as I slipped them on. So far very comfy and almost feels like I am wearing socks. I normally wear Brooks Ghost running shoes and I go through 5 pair a year. My feet were never this happy wearing them..... I will keep you posted on the comfort level. So far 5 stars.,10
Kroger-Ortiz,Very comfortable shoes,https://www.amazon.com/gp/customer-reviews/RAY6L68HVE7UM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," June 17, 2024",Size: 6.5-7Color: W21v2 | Pink,Verified Purchase,"I absolutely love these shoes. The colors are great, I have wide feet and these are perfect. I personally believe they need a slight arch insole especially made for that particular shoe or at least give the option and offer customers with or without to purchase a custom fit insole,",
Laura H,A little tight but loving them!,https://www.amazon.com/gp/customer-reviews/RTJSNF6KU3P73/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," June 15, 2024",Size: 7.5-8Color: W21v2 | Pink,Verified Purchase,I wore them last night and love them. They’re exactly as advertised. Love,
rebecca lurten,Love these shoes,https://www.amazon.com/gp/customer-reviews/R2QW5HZXQY4EX8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," June 13, 2024",Size: 8.5Color: W21v2 | Pink,Verified Purchase,"They were tight when I first put them on, but they are now my everyday foot ware and I love them",
cheyanne k,They are ok,https://www.amazon.com/gp/customer-reviews/RZCRT0F8897ZW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"3.0 "," the United States "," June 12, 2024",Size: 7.5-8Color: W21v2 | Pink,Verified Purchase,I like them for a quick trail walk but if you are on your feet all day on concrete there is not enough support and your feet will hurt.,
L Fontanez,Not great for hiking.,https://www.amazon.com/gp/customer-reviews/R1T8U11BT0YCA6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"3.0 "," the United States "," June 10, 2024",Size: 5.5-6Color: W21v2 | All Black,Verified Purchase,I use them as water shoes. Not very comfortable for hiking or running as they are kinda thin. They do fit well and are pretty easy to clean.,
Tish,Great Shoe!,https://www.amazon.com/gp/customer-reviews/RW62ZFLB3WCDA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," June 10, 2024",Size: 8.5Color: W21v2 | Black,Verified Purchase,"Loving these! After a LONG search I ran across these & I love the feel which they are very light weight ,fit my feet comfortably and the price was right!!",
Nataly,Muy lindos y cómodas,https://www.amazon.com/gp/customer-reviews/R7BJJTUQN98IB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," June 7, 2024",Size: 8.5Color: W21v2 | Pink,Verified Purchase,Muy lindas y cómodas.,
Coco Arias,These shoes were narrow. Think this would work for a younger foot.,https://www.amazon.com/gp/customer-reviews/R4XD3PKAI2ZFF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," June 6, 2024",Size: 8.5Color: W21v2 | Camouflage,Verified Purchase,really cute. i have a high arch and could not put my foot in the shoe,
Kathy Little,Good at first,https://www.amazon.com/gp/customer-reviews/R3IVIW6J995S12/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"3.0 "," the United States "," June 3, 2024",Size: 10Color: W21v2 | Pink,Verified Purchase,After wearing a couple times... the foot bed felt like walking on hard plastic,
Detox review,Space for toes,https://www.amazon.com/gp/customer-reviews/R3VY69XQADH1CP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," June 3, 2024",Size: 6.5-7Color: W21v2 | All Black,Verified Purchase,I bought these for working out at the gym. These are very comfortable and plenty of space for toes to help balance! I ran and did weight with these and I didn’t have any strain on my calves. I recommend these for those who don’t want strain on calves or knees. Also very breathable material i enjoy feeling the air hit my toes 😃 in my opinion these are great!,
Kandi Rivera,These suck,https://www.amazon.com/gp/customer-reviews/R1QJFZJTMJ4XEB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"2.0 "," the United States "," June 1, 2024",Size: 10.5-11Color: W21v2 | Pink,Verified Purchase,The ankle part is way to small!,
Holly Herron,So comfey,https://www.amazon.com/gp/customer-reviews/R7V75BFYC7XMP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," May 30, 2024",Size: 8.5Color: W21v2 | All Black,Verified Purchase,My go to shoes,
Farah Aligour,Roomy in toe area,https://www.amazon.com/gp/customer-reviews/R2SRL7YGRXABS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," May 29, 2024",Size: 9-9.5Color: W21v2 | Pink,Verified Purchase,Product true to size and does not squeeze my toes.,
Renee Sanborn,As expected,https://www.amazon.com/gp/customer-reviews/R1DS8YA3U0LLA9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," May 29, 2024",Size: 10Color: W21v2 | All Black,Verified Purchase,Al ittle tighter around the ankle but still comfortable. Lot more toe space than I imangined so that is awesome.,
Kathleen O'Brien,"Comfortable, tight ankles",https://www.amazon.com/gp/customer-reviews/R1ZZ73EP51ZB7S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," May 19, 2024",Size: 10.5-11Color: W21v2 | Black,Verified Purchase,I like these for the wide tow box and good grippy soles. But the ankles are a tight and they are not the nicest looking shoes. Good price for the product nonetheless,7
Andrea,Tight at my ankles,https://www.amazon.com/gp/customer-reviews/R2VE8B6JDSZDWZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"3.0 "," the United States "," May 17, 2024",Size: 6.5-7Color: W21v2 | Black,Verified Purchase,Cute shoes & comfy. Definitely wide toed shoes. I bought this because I'm pregnant & my feet are swollen at the end of the day. Used them for one day & they squeezed my ankles. It was very uncomfortable. Maybe for non pregnant people they will be a good fit,
MamaG,Great shoes!,https://www.amazon.com/gp/customer-reviews/R3P62DY2D880EB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," May 12, 2024",Size: 7.5-8Color: W21v2 | Pink,Verified Purchase,"I have plantar fascitis and was looking for an affordable zero gravity shoe for walking. The design is cute, is very lightweight and comfortable! It's a little tight around my ankle because of the elastic, but it's loosened a bit and more comfortable the more I wear them. This was a good purchase!",18
Bev,Barefoot shoes,https://www.amazon.com/gp/customer-reviews/R2AI0IQY64VNTO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"1.0 "," the United States "," May 10, 2024",Size: 10Color: W21v2 | All Black,Verified Purchase,I got these to wear around the house mainly because my podiatrist told me not to go barefoot but the shoes need to be worn for awhile to get used to them so they made my feet hurt more. So don't wear them much.,
