评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Vivian S.,My feet don't hurt which is unusually surprising,https://www.amazon.com/gp/customer-reviews/R1VPGRAGVAFM5T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," January 25, 2025",Size: 10.5-11Color: W63 | Jet Black,Verified Purchase,Love these immensely and ordering more,
ToolMaker,These should last longer,https://www.amazon.com/gp/customer-reviews/R2XRLS9YE7QG3C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"2.0 "," the United States "," November 28, 2024",Size: 10Color: W63 | Brown Gum,Verified Purchase,These shoes were excellent for traction in the woods. Purchased them in 2/2024. By August the soles were separating from the fabric portion of shoe. Can't be repaired. Trash,
CM,Great shoes!,https://www.amazon.com/gp/customer-reviews/R2L5T8LV7TVQHA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," November 27, 2024",Size: 8.5Color: W63 | Brown Gum,Verified Purchase,"I bought these mostly because I needed the specific color. They look very nice in person. I really like that they don’t make my feet look super wide like a lot of this style of shoe can do. They are comfortable but be aware they don’t have lots of cushion or support like regular athletic shoes. AI’m not young, and after two long days on my feet, I would have preferred an insole of some sort, but they really weren’t terrible. Additionally, I surprised how many compliments I received. They are a nice looking shoe. I’d recommend them and would buy them again.",5
LBB,Great for those with wide feet but not high arches,https://www.amazon.com/gp/customer-reviews/RVNY7QSZOYIUP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"3.0 "," the United States "," November 24, 2024",Size: 10Color: W30 | Black,Verified Purchase,"I really wanted these shoes to work, but strap at the top is velcro and did not overlap enough so it could stay shut. I have high arches, however I suspect that even if you have normal feet you may find this a problem. Other than that they seemed comfortable.",
Mary chagoma,Very beautiful,https://www.amazon.com/gp/customer-reviews/R3S7WP136368XO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," November 24, 2024",Size: 9-9.5Color: W30 | Purple,Verified Purchase,Strong wear and go shoe I love it alot,
KAH,I have MS…,https://www.amazon.com/gp/customer-reviews/R105TF42FXKKF3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," November 22, 2024",Size: 8.5Color: W63 | Jet Black,Verified Purchase,"…which makes walking super fun at times. So typically my casual corporate attire consists of dress pants with tennis shoes, but recently I was called to jury duty. I didn’t feel tennis shoes would be appropriate so I searched for something more low key. While they failed to cure my MS, the super light weight, wide toe area, easy on/off & sleek design of these shoes did make walking a little easier & made this girl feel a little more stylish then what is typically offered for people in my position.",
MrsJBW,Cute & Functional,https://www.amazon.com/gp/customer-reviews/RAROWXSIS2BOZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," November 21, 2024",Size: 7.5-8Color: W63 | White/Gum,Verified Purchase,I order a TON of items off of Amazon and never write reviews. These are great. I love them for working out and have worn them out with athlesure outfits and received several compliments. Ordering a second pair so I have one for workouts and one for fashion.,
KRichards,Soles,https://www.amazon.com/gp/customer-reviews/RQR0406X9IVEQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"4.0 "," the United States "," November 20, 2024",Size: 10Color: W63 | Dark Grey,Verified Purchase,The soles bunch up when trying to remove the shoes from your feet which is really frustrating because you have to straighten them again which is not easy to do with these particular shoes.,
Nikki,Love at first step,https://www.amazon.com/gp/customer-reviews/R2RSN7PEMF1XSX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," November 18, 2024",Size: 9-9.5Color: W30 | Pink/Grey,Verified Purchase,"I'm already a big fan of hike barefoot shoes. My first pair of shoes that don't get my feet wet like the barefoot shoes. My feet don't ache and it's the only brand I wear now. I'm a Medical Assistant and am on my feet for long hours at work and at home. They are different from the barefoot shoes due to the weight. These are a little heavier but ok for me. I like how easy it is t9 put on and take off, as well tighten to the tightness you are comfortable with. Will definitely be ordering more of these. Waiting on the boots to arrive now. Truly love at first step in this style of barefoot shoes.",6
Katina B.,Everything I wanted in a shoe,https://www.amazon.com/gp/customer-reviews/RYB30ZSL04E2N/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," November 17, 2024",Size: 8.5Color: W63 | Dark Grey,Verified Purchase,"I have tried almost all brands of shoes. I have low back degeneration. My legs and feet hurt constantly and i have atrophy in my calfs which limits foot flex and grab.  These shoes are perfect, they allow me to grip without using toes and gives my step more power.  As thin as they are, I don't feel pebbles when on gravelly surfaces.  Love these so much I wear them instead of my slippers!",
Amazon Customer,Super comfortable for wide feet.,https://www.amazon.com/gp/customer-reviews/ROJNKPYM166CH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," November 17, 2024",Size: 6.5-7Color: W63 | Grey/Gum,Verified Purchase,This is a very comfortable sneaker for wide feet. I am on my feet all day for work and my feet don't hurt at the end of the day. I plan on getting another pair.,
Patricia Webb,Comfy shoes,https://www.amazon.com/gp/customer-reviews/R1FQB4FWEX9IES/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," November 14, 2024",Size: 7.5-8Color: W30 | Pink/Grey,Verified Purchase,Like walking barefoot …,
Slabib,Very comfortable,https://www.amazon.com/gp/customer-reviews/R167JU0H6HO1JI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," November 12, 2024",Size: 7.5-8Color: W30 | Pink/Grey,Verified Purchase,I used the shoe for long 5 miles walk.Extremely comfortable. Strongly recommend it,
karen,HALF SHOE SIZE,https://www.amazon.com/gp/customer-reviews/R398C1AWHDQL5I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," November 11, 2024",Size: 6.5-7Color: W63 | White/Gum,Verified Purchase,"I rarely write reviews, but I just wanted to let those who are in between sizes go up a size and wear thick socks. I bought both 6.5 and 7.5 sizes and because I am a 7 the gray ones I will have to keep in size 38 just because the 37(6.5) is just way too small.  Super flexible shoe, great for walking I’ve noticed my calf’s getting stronger as well and super grippy at the bottom which I love.",5
Alexis Juarez,A little wide,https://www.amazon.com/gp/customer-reviews/R21W5UMHBPHWAY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"4.0 "," the United States "," November 11, 2024",Size: 10.5-11Color: W30 | Black,Verified Purchase,"I know rhis concept of shoes give a wider toe box, but this shoe is heavier and wider than the real Hike shoes.",
Eve S Young,Great is you want a used pair of shoes,https://www.amazon.com/gp/customer-reviews/R7ISJKSOCXYXP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"1.0 "," the United States "," November 11, 2024",Size: 7.5-8Color: W63 | Jet Black,,The shoes arrived in a bag with no markings. After opening the bag I discovered the insoles didn’t match and one was so worn there was a hole in the fabric. It is disgusting to receive a used pair of shoes.,3
jhl,Not a wide toebox,https://www.amazon.com/gp/customer-reviews/R3NLE9ZC1HSWSW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"2.0 "," the United States "," November 10, 2024",Size: 9-9.5Color: W63 | Jet Black,Verified Purchase,"It's surprising in a barefoot shoe to find a narrow toebox, but here it is. I've had other Whitin shoes (sadly no longer available) that have a nice wide toebox, but this one is uncomfortably tight.",
Amazon Customer,Does NOT have a wide toe box,https://www.amazon.com/gp/customer-reviews/R3S2R36RNSH7A1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"4.0 "," the United States "," November 8, 2024",Size: 9-9.5Color: W63 | Black/Gum,,"Very comfortable, minimalist, cool looking shoe but definitely not a wide enough toe box",
Chele,Love these,https://www.amazon.com/gp/customer-reviews/R2S8AUVMJ7NHG0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," November 8, 2024",Size: 7.5-8Color: W63 | Jet Black,Verified Purchase,I am on my feet all day and they are a great comfort and look nice with work clothes. I have wide feet and a high instep. Will repurchase.,
Vera Gaston,They fit,https://www.amazon.com/gp/customer-reviews/R32XFHDKGTZJ9S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," November 5, 2024",Size: 10.5-11Color: W30 | Black,Verified Purchase,I absolutely love them,
Adrianne Black,Shoes wore out in a month and no company contact,https://www.amazon.com/gp/customer-reviews/R2Q8VSZ3117DFG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"1.0 "," the United States "," November 5, 2024",Size: 7.5-8Color: W30 | Green,Verified Purchase,"Within about a month the inner lining above the big toe tore in the left shoe. Within a short time after, less than 2 months the inner lining tore in the same place in the right shoe and the outer material is separating from the sole. I'm not a big Amazon shopper and life is too busy for me to come back to the computer to check to see when I ordered something to see if it is still within the window to return, so of course I've missed that. I would say I've worn these with average wear. I do a fair amount of walking, but I'm not hiking mountains or anything like that. This is super disappointing because these shoes were very comfortable, even as my first pair of ""barefoot"" shoes and I felt I was walking better, more upright. Its also quite disappointing that if you go to the company's website, there is no way to contact them. I will be checking for that before making future online purchases and I will not be making additional purchases or recommending WHITIN. I had originally planned to try them myself and then purchase for my husband and son if they worked out. Its only because I'm not a huge online shopper that kept me from getting online and already making additional purchases since they were so comfortable, so this company will lose out. It looks like enough people like them, or submitted a review before the shoes broke/tore, that they probably won't miss my contribution to their profits though.  The pictures are of the same tear, one zoomed out so you can see where on the shoe it is, the other zoomed in. I can't get pictures of the inside tears since its in the toe box, but I can feel them with every step. As you can see, minus some dust, they otherwise look to be in good condition, indicating I'm not exposing them in outrageous conditions.",6
Tina H.,Cheaply made thin material,https://www.amazon.com/gp/customer-reviews/R3O7HNT1A03OZX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"1.0 "," the United States "," November 4, 2024",Size: 7.5-8Color: W30 | Pink/Grey,Verified Purchase,Less than 2 months of wearing these 2 times a week to work out and a hole is already forming in the material near the toes. They are cheaply made. The material is very thin. The tongue of the shoe is also crooked on your feet and there is no way to adjust it. Just very poorly made.,3
Jimarq,Ugly,https://www.amazon.com/gp/customer-reviews/RHRTD9X6CVBHV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"4.0 "," the United States "," November 4, 2024",Size: 10Color: W30 | Green,Verified Purchase,Maybe the ugliest pair of shoes I’ve ever purchased but who cares what they look like when they feel this good!  Perhaps green is not my color.,
Amazon Customer,They are nice,https://www.amazon.com/gp/customer-reviews/R37KDZWJBVRC03/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," October 29, 2024",Size: 7.5-8Color: W63 | White/Gum,Verified Purchase,"Initial thoughts : It’s a nice shoe for the price, I normally wear an 8 in women’s, so I ordered an 8 and it fits perfectly. Has a nice cushion area in the heel for the Achilles which was a nice surprise, the only thing I wasn’t a fan of was the bottom rubber foot piece is like a bright orange versus a more neutral color. But once the shoes gets used, it should darken up a bit. I also tried it on with no socks and I didn’t like the feel of it, felt like it would rub on some spots of my foot causing discomfort. Overall good buy.",4
G J C,Love the color,https://www.amazon.com/gp/customer-reviews/R3FZ26VQT1NOQE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," October 27, 2024",Size: 9-9.5Color: W30 | Green,Verified Purchase,"Very comfortable, love the color. The structure of the shoes is not tight but acts almost like a shroud on the foot. The shoes conform to the foot and are pliable.",4
Bean Kewl,Comfortable,https://www.amazon.com/gp/customer-reviews/R2L24LW6GMEFPF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," October 27, 2024",Size: 6.5-7Color: W30 | Grey,Verified Purchase,"Most comfortable shoes I own and don’t get ‘ I can’t wait to take them off’ feeling. I have wide feet and usual hiking shoes were hurting my toes after wearing them for over an hour, specially going down, hutting the toes, and squeezing. These shoes have been very wide and not squeezing my toes, and was much better quality than I expected.",
Blu,Solved my foot pain issue- Love this shoe,https://www.amazon.com/gp/customer-reviews/R3N1PP9U0Q7G1R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," October 27, 2024",Size: 7.5-8Color: W63 | Brown Gum,Verified Purchase,"This is the 2nd set I've ordered. First pair I wore for 3 years and the top looked brand new, only had to get a new pair cause I wore through the soles. These shoes fixed my Plantar fasciitis because the soles let me flex my foot completely when walking. I have another pair saved in my cart for the next time I need a set. Love them!",
S. L. Marsh,I'm in love!,https://www.amazon.com/gp/customer-reviews/R3EK4KC8F8KSNZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," October 26, 2024",Size: 8.5Color: W63 | Brown Gum,Verified Purchase,These shoes are so comfortable and stylish. The fit is perfect. Well worth what I paid. Gonna order  in another color. Great  value!,5
marierosenquist,great waking shoe,https://www.amazon.com/gp/customer-reviews/R2RM6O5PXSGO38/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," October 26, 2024",Size: 7.5-8Color: W63 | Jet Black,Verified Purchase,"I love this shoe fits perfect size 8, I had it on hole day and it felt great, skid free, it has a arch wich makes it very comfortable. It is not for a very wide foot. Will buy one more",
Amazon Customer,Best shoes I have ever owned!,https://www.amazon.com/gp/customer-reviews/R37UHFO4A4ZCCA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," October 26, 2024",Size: 8.5Color: W63 | Dark Grey,Verified Purchase,"So, I turned 50, four years ago. I have always had horrible feet, my second toe is longer then my first. All my toes curve towards the pinky toe which makes me have large bunions under my big toe. About 15 years ago I developed a fungus under my toe nails that I have been dealing with. I got to talking to a nurse and it was brought to my attention that if ur body is fighting an infection eventually it gets worn down which can cause a lot of other problems eventually lead to heart disease and death because it fights continually to fight infection. I have no health insurance so I've been cutting my toe nails very, very short and putting bleach directly on them, it has always been painful for me to walk but, excruciating getting older, my feet have gotten wider and wrking on concrete floors all my life then trying to get rid of this nail fungus. So to end this review I just want to say the shoes run true to size, they fit perfect and to be honest I feel like I'm almost barefoot. My entire body feels better, my back, my legs, my sciatica . These shoes are simply life changing, I have been impressed as I have gone thru hundreds of dollars trying to find a damn comfortable shoe. I am just so grateful, these are AMAZING!! If ur considering these shoes, look no further I'm telling u u will not regret ur decision.......",18
Vicki,So comfortable!,https://www.amazon.com/gp/customer-reviews/RSRMC82NAHBGX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," October 25, 2024",Size: 8.5Color: W63 | White/Gum,Verified Purchase,"The minute I put these on, I loved them! So comfortable! Lightweight and flexible with a grounded feeling.",
Jessica,Wide foot approved,https://www.amazon.com/gp/customer-reviews/R1UCW6QY7QPWFV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," October 25, 2024",Size: 6.5-7Color: W63 | Black/Gum,Verified Purchase,"I have short wide feet. It is very hard to find a shoe that fits my feet due to most toe boxes being on the smaller end. These fit great! I am not expecting these to be a long wear shoe, just casual. It does have a high arch but they are very comfortable with a cushioned heel to reduce rubbing. Very happy with the purchase.",
KENNI's PLACE,Comfortable shoe,https://www.amazon.com/gp/customer-reviews/R34UA8SKCCSM9Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," October 23, 2024",Size: 10Color: W63 | Jet Black,Verified Purchase,It has a very different feel than regular shoes.  I got used to them very quickly. Wide toe box.  Stretchy and durable material.  Non-skid sole with good traction; not slippery. I was able to work in them 12hours as a hospital nurse.  Quick slip on and off. No issues with rubbing and forming blisters. Great value for the price and I would definitely buy again.,19
Amazon Customer,They are a little comfy…..but,https://www.amazon.com/gp/customer-reviews/R5CYH8BJHWQNQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"1.0 "," the United States "," October 23, 2024",Size: 9-9.5Color: W63 | Jet Black,Verified Purchase,"I wore the shoes 3 days straight, on that 3rd day i got spasms in my thighs. Haven’t and wont put them back on",
Tiffany Gaffney,Shin pain gone,https://www.amazon.com/gp/customer-reviews/R24RF48BB7XWTI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," October 23, 2024",Size: 8.5Color: W63 | White/Gum,Verified Purchase,"I bought these for lifting at the recommendation of my trainer. They've been great as intended. However, I also walk daily and I was having tremendous shin pain. I tried every sneaker in my closet but nothing made it better. Finally, I decided to try these even though I had never worn them off the gym floor. Finally! My shin pain is gone.",
Rachael Day,Love!!!!,https://www.amazon.com/gp/customer-reviews/R9W5SL5OQTAOV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," October 22, 2024",Size: 8.5Color: W63 | Black/Gum,Verified Purchase,I wear these all the time. My favorite go to casual shoe. I’ve even been on a few advanced hikes and they did well.,
Jill K.,Nice fit and looks good,https://www.amazon.com/gp/customer-reviews/RUQIQQ87EW71N/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," October 22, 2024",Size: 9-9.5Color: W63 | Black/Gum,Verified Purchase,"I like this shoe a lot. Roomy toe box. Zero drop. Light weight. Easy laces. Just enough stretch. All of that and it looks good too. It’s my new favorite. I just did five miles and while I could definitely feel the trail, I didn’t have any pain through the soles. I’m glad I found these",
BMitchell,"Nice, but not for me",https://www.amazon.com/gp/customer-reviews/R28XM2OV4D36R5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"3.0 "," the United States "," October 22, 2024",Size: 5.5-6Color: W30 | Pink/Grey,Verified Purchase,"Giving these a 3 star. The toe box is definitely wide enough for my wide feet, the 5.5-6 is a perfect length, and the feeling is almost like being barefoot. However, the top of my feet hurt because of not enough room top to bottom, and I loosened everything as much as I could, straps and Velcro both. Very disappointed. I am sure they will work out great for most folks, but not for me.",16
Slow and Chonky,I’ve been surprised and humbled.,https://www.amazon.com/gp/customer-reviews/R22E7FD9BOR0VJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," October 22, 2024",Size: 7.5-8Color: W63 | Jet Black,Verified Purchase,"Brand new vs nearly 1600 miles in a year. I’m pretty impressed with my first pair of barefoot shoes since I rarely get a year out of a single pair of shoes. Knowing that I wore them and walked/ran/mowed a distance equal to twice the width of Texas plus 49.27 miles or twice the length of Texas minus 6.73 miles puts it into perspective. They held up phenomenally well. I originally ordered them with the intention of upgrading to a higher quality barefoot shoe (like Xero) when/if they fell apart a month later. They were supposed to be my test shoe to see if barefoot shoes improved my foot pain. Here I am, a year later, replacing them with the exact same shoes. I’ve been humbled and feel the need to lay them to rest respectfully rather than unceremoniously tossing them in the bin. Here’s to the next 1600 miles, or maybe 2000 (I’m feeling adventurous).",19
Susan,Comfort,https://www.amazon.com/gp/customer-reviews/RY4KI9G7QU4PE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"1.0 "," the United States "," October 21, 2024",Size: 9-9.5Color: W63 | White/Gum,Verified Purchase,Tight Around ankles and I don’t like sides include hard plasticy tie areas,2
Suzet,I have to buy insoles for them.,https://www.amazon.com/gp/customer-reviews/R4VDPGVN93O2M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"2.0 "," the United States "," October 21, 2024",Size: 8.5Color: W63 | Jet Black,Verified Purchase,Its like walking bear footed and that is not an option for me.,
