评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
David Hammond,Not a good comparison to barefoot,https://www.amazon.com/gp/customer-reviews/R3EXNCBM5KN8HC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"1.0 "," the United States "," December 29, 2024",Size: 7.5-8Color: W20 | Purple,Verified Purchase,"Although the shoe may look similar to barefoot, the feel and construction are far from it. For one, either the shoe is not made true to size or I got a defective pair. There is no support and the soles are very thick. You might as well just wear regular sports shoes. I wore mine for 10 minutes in the house and not only did they rub my heel raw but my hip started aching. I immediately removed them and put on my regular barefoot shoes and went for my 2 mile walk with no issues.",2
Teresa,Most Comfortable Sneaker,https://www.amazon.com/gp/customer-reviews/R1TA5OYNC9C8XN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 29, 2024",Size: 7.5-8Color: W20 | Dark Grey,Verified Purchase,I do a lot of walking daily and these are my most comfortable sneakers. I wear them more than any of my shoes. I love the wide toe box. Toes should be able to stretch out in your shoes. My toes are free!,
Ethel,No fit,https://www.amazon.com/gp/customer-reviews/R28NNOY13ASG2G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"1.0 "," the United States "," December 28, 2024",Size: 5.5-6Color: W30 | All White,Verified Purchase,The toe of the shoe is ridiculously wide.  The design is just not acceptable.,
Elton George,"They were wide in the toes, which was very nice",https://www.amazon.com/gp/customer-reviews/R1QQ3FGA6I3JPY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 27, 2024",Size: 7.5-8Color: W20 | Red,Verified Purchase,Very comfortable,
Emmie,Comfortable!!!,https://www.amazon.com/gp/customer-reviews/R3HGDCDCOHZN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 27, 2024",Size: 7.5-8Color: W20 | Light Blue,Verified Purchase,I like these so much I bought two pairs in different colors!,
Cathy C.,Maybe,https://www.amazon.com/gp/customer-reviews/R10ZH05EQMA81V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"3.0 "," the United States "," December 26, 2024",Size: 9-9.5Color: W30 | Orange,Verified Purchase,"I am normally much too reserved to wear these orange Donald Duck type shoes, but I found them to be comfortable.  I emphasize ""think"" because the inside heel on the right shoe was bunched up (creased) which caused a heel rub.  After wetting the fabric and reshaping it I hope it will feel the way it is suppose to feel.  Assuming all goes well, this will be a great all around inside, outside shoe (for casual wear).  The bright orange Donald Duck appearance is quirky, but I carry it off without looking weird.",
JudiJudiJudi,Soooo Very comfortable,https://www.amazon.com/gp/customer-reviews/RIBOPGE9H2YXI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 26, 2024",Size: 7.5-8Color: W30 | Grey,Verified Purchase,Love these shoes! They are so comfortable and easy on my feet. Due to a bunion there's not any shoes I could wear the whole day (8a.m. - 8p.m.) until I discovered these. Have now ordered several pair in different colors and plan to get a few more pair. They are a real blessing to my old feet!,
Libby B,Comfortable!,https://www.amazon.com/gp/customer-reviews/RED8UILHQ4OO6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 26, 2024",Size: 8.5Color: W20 | Dark Grey,Verified Purchase,I’m quite happy with these. They seem well made. I wear them a good bit and did as soon as I got them. Very comfortable and actually helps my back either way the zero drop. Just ordered another pair in a different color. I’m a fan of these!!,
JDR,Returned,https://www.amazon.com/gp/customer-reviews/R2GFDVIVMHNX7M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"1.0 "," the United States "," December 25, 2024",Size: 6.5-7Color: W20 | Rose Red,Verified Purchase,Returned not what I expected,
Sarah Asuquo-Nkwocha,"Runs small, but it's so comfortable when you get your size",https://www.amazon.com/gp/customer-reviews/RK907ZAY1JSNX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 21, 2024",Size: 10Color: W20 | Rose Red,Verified Purchase,"It's the show I wear almost everyday now. Great traction for light snowy days too. However it isn't water resistant at all, which has its benefits for making my feet feel aerated. I was afraid of buying an unknown brand show because I believe shoes are something you shouldn't be cheap on. But I've had these for two months now and I can tell they'll last a very long time for me.  Theu do run small, though. I typically wear a size 9 but had to go a while size up to 10 to get a good fitting shoe.",
Shan,Lo o KS cool,https://www.amazon.com/gp/customer-reviews/R1LRF5DP63GYXI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"4.0 "," the United States "," December 21, 2024",Size: 9-9.5Color: W20 | Pink Grey,Verified Purchase,"Looks cool. Seems more like an ""Aqua sock"" I am a walker 60 year old sole not thick and rocks hurt cotton of my foot when I encounter one in the road or sidewalk. Grip seems ok",
Forgetful in Idaho,Comfy but they don’t look good for long,https://www.amazon.com/gp/customer-reviews/R3K1PCFU1EM7C6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"1.0 "," the United States "," December 19, 2024",Size: 7.5-8Color: W30 | Grey Pink,Verified Purchase,"Within a month of buying shoes, the material on the top snagged. They are comfy but don’t look good anymore.",
Brittney,Very comfortable,https://www.amazon.com/gp/customer-reviews/RQQOG9SFB6C00/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 19, 2024",Size: 7.5-8Color: W30 | All Black,Verified Purchase,"I was kind of hesitant to write a review about these shoes, but I am telling you they are the most comfortable shoes I have ever wore! The grip is amazing The sizing of the shoes is also great. The thickness of the material is quite nice too with that being said I mean it’s not overkill with the thickness. It’s very lightweight. I love them.",
What a beautiful stunning yet subtle smell. Definitely a keeper,Soooo very soft and comfortable.,https://www.amazon.com/gp/customer-reviews/R1DDCZB9IIYJBJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 19, 2024",Size: 10Color: W20 | Pink Grey,Verified Purchase,These make you feel like you are walking on cloud. I have not used them all that much but for now I absolutely adore them ❤️,
Jill-of-all-trades,"Wide toe box shoes, with grippy soles!",https://www.amazon.com/gp/customer-reviews/R1QU7R1A72PPZR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 18, 2024",Size: 10Color: W20 | Light Blue,Verified Purchase,"I like these wide toe box shoes and use them almost every day. They work well for walking longer distances as well,  which was the reason I originally purchased them.  There's not much cushioning in this type of shoe, so I add a shoe insert for extra comfort. Overall I like these shoes especially as they're an affordable choice!",
R. Crum-Parrinello,Perfect,https://www.amazon.com/gp/customer-reviews/R1A2RVOV3UJQZ8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 18, 2024",Size: 6.5-7Color: W20 | Pink Grey,Verified Purchase,"I love my 5 finger minimalist barefoot toe shoes, but the cost... these are a great alternative,  and my feet stay dryer, even on wet pavement.",
Donna,Comfortable,https://www.amazon.com/gp/customer-reviews/R3OTM7PSZJHDVJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 17, 2024",Size: 11.5-12Color: W30 | All Black,Verified Purchase,I love these so much.  I will definitely get them in another color. Really comfortable and I've worn them all day .,
KB,nice shoes,https://www.amazon.com/gp/customer-reviews/R3CU0UF30LOS9R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 16, 2024",Size: 9-9.5Color: W30 | Black Gum,Verified Purchase,my son likes these. you can still where socks. it’s not like your toe goes in to each hole or anything.,
Amazon Customer,Feel like very quality shoes,https://www.amazon.com/gp/customer-reviews/R1FZ3DOFUAMA2J/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 16, 2024",Size: 9-9.5Color: W30 | All White,Verified Purchase,I have bought other brands of similar shoes but these are the best ones!! The quality difference to my previous pairs was obvious as soon as I picked this pair up. The fit well and are very comfortable. I think these will be very durable and last quite awhile,
M,Disappointed,https://www.amazon.com/gp/customer-reviews/R1TQNDW3PIJDAG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"1.0 "," the United States "," December 16, 2024",Size: 7.5-8Color: W20 | Pink,Verified Purchase,"I ordered a 7.5-8. Normally I wear 7.5 so I figured these would have the space I needed if they run small, however these were still too small and tight making them uncomfortable. I had asked to return them for a larger size because I have been looking forward to trying these shoes out. I was given two ""free"" options to return it.. I could PAY for pick up or have them dropped off for free which was pretty funny. I just had surgery so I can't drive which made finding a way to drop them off difficult but paying to return them isn't a big deal since I'd get the correct size in the end. I received my replacement order and turns out I was given the same size. Kind of a waste of time at this point so I will just give them away.  These have been sitting in my cart for awhile so it really does suck that it didn't work out. In this case I got what I paid for. It's hard to give advice since most reviews seem to be mixed and some sizing depends on the colour you order, but maybe size up and go from there. Be prepared to send them back multiple times if the sizing IS off.",3
Amazon Customer,Comfortable,https://www.amazon.com/gp/customer-reviews/RXKQ6UBJZH5KN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 16, 2024",Size: 8.5Color: W20 | Purple,Verified Purchase,Wore them to aerobics and zumba classes. They are comfortable and flexible,
Rose M Perez,Me encantan,https://www.amazon.com/gp/customer-reviews/RX0ZFSFY8PO9Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 15, 2024",Size: 8.5Color: W20 | Red,Verified Purchase,Edtos tenis super bellos y comodos,
candace fonder,Comfy,https://www.amazon.com/gp/customer-reviews/R3F8XTT7JR2IWC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 13, 2024",Size: 7.5-8Color: W30 | Army Green,Verified Purchase,"Super comfy, wide toe bed for my 72 yr old toes!!!! I bought these fr casual wear and they fit the bill. True to size for me!",
sooz,2 years later…,https://www.amazon.com/gp/customer-reviews/R2MLSUUTAJYZYN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 12, 2024",Size: 10.5-11Color: W30 | Grey,Verified Purchase,Still using daily for strength training! I even wore them once for a 10K. Easy to change out shoes too if you do bike cardio/strength bootcamps.,
TayBay,Great barefoot shoe,https://www.amazon.com/gp/customer-reviews/RWT6C4PBDRMU3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 12, 2024",Size: 8.5Color: W30 | Grey,Verified Purchase,"Great barefoot shoe. Nice wide toe area. Lightweight and airy. Easy to wash. My favorite, and I’ve purchased 4 brands.",
🌈 Summer of '75 🦄,Nope. I hate them 😒,https://www.amazon.com/gp/customer-reviews/R2AFSW0LS9SVYC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"1.0 "," the United States "," December 12, 2024",Size: 10Color: W20 | Rose Red,Verified Purchase,"I purchased a different brand of minimalist shoes a few years ago, and they were amazing. Pretty much the most comfortable shoes I'd ever bought, and I wore them hiking, kayaking, rock climbing...until one day they finally died on me. The company no longer makes the style, so I was looking for an alternative, and thought these would be it, but they SO are not. I've worn these a couple of times hoping maybe they would get broken in a little but I still hate them. They are very stiff & not comfortable at all to wear. I don't know how these are getting good reviews. The back part of the shoe that meets the Achilles tendon rubs so much, I actually took these shoes off in the middle of a hike and preferred to walk back to the car barefoot & stepping on rocks, sticks, and pine cones because it was less torture than wearing these shoes. The sizing is correct, but still somehow these shoes feel ""wrong"" on my feet. My husband also purchased a pair and he threw his away, he was so annoyed with them. I would honestly not recommend these shoes if you are planning to do anything else in them besides sit somewhere & look cute. These are not utilitarian, so don't waste your money like we did. Very disappointed on the quality of items from Amazon lately, I feel like it is now mostly an overseas knockoff swap meet vs the convenient online retailer it used to be.",7
JBWB6504,Should have bought these years ago,https://www.amazon.com/gp/customer-reviews/R2I3ZFNL42OFYM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 11, 2024",Size: 9-9.5Color: W20 | Purple,Verified Purchase,"I've had issues with an old injury in my foot for years. Any time I use the treadmill or am on my feet all day they ache so bad it can be hard to go to sleep. Well I used these on the treadmill not really thinking it was a good idea and was amazed at how great my feet felt! Not sore at all, I'm ordering a second pair and wear them constantly now. Love them!!",
David Davis,White toe box,https://www.amazon.com/gp/customer-reviews/R1875R2IEDEFW3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 11, 2024",Size: 9-9.5Color: W20 | Pink,Verified Purchase,Pleasantly pleased with the fit of these shoes provides additional space for my wife’s toes. She is very happy.,
Richard F Anfuso,Reduced Pain,https://www.amazon.com/gp/customer-reviews/R2WZM8PE5LCABN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 11, 2024",Size: 10Color: W30 | All Black,Verified Purchase,"My wife loves these shoes so much she asked for 2 more pair for Christmas.  Before getting these shoes her feet hurt, her toes were cramped, and it hurt to walk. Now, with the help of these shoes and a pair of inserts, she is almost pain free. Thank you.",
Barb,Great for the gym.,https://www.amazon.com/gp/customer-reviews/R3MX4R4FLJF25B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 10, 2024",Size: 11.5-12Color: W30 | All Black,Verified Purchase,"I love these as the gym won't let me be barefoot.  They are comfortable, sturdy while lifting heavy weights and going on the elliptical, treadmill and bike.",
kathy shelly,Great,https://www.amazon.com/gp/customer-reviews/R1HXB10P5KC6GM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"3.0 "," the United States "," December 10, 2024",Size: 9-9.5Color: W20 | Rose Red,,Shows were great except for glue showing on toe boxes,
KAZE,So Comfortable!,https://www.amazon.com/gp/customer-reviews/R5UDM9WH520DX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 10, 2024",Size: 10.5-11Color: W20 | Red,Verified Purchase,I have worn these shoes  all week. I love the color pattern- looks better in person than on line. They are absolutely comfortable. It's like walking barefoot with out walking barefoot. :) I totally  recommend these shoes. I have had actual toe shoes . This pair gives me the same feeling.,
Heather O. Cain,Fit like a glove,https://www.amazon.com/gp/customer-reviews/R1OYBX77MR64OX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 10, 2024",Size: 6.5-7Color: W20 | Dark Grey,Verified Purchase,"I have flat feet with wide toes, narrow heel; most shoes including barefoot shoes feel like I am shuffling along in shoe boxes. These are perfect I am a 6.5 & was worried the 6.5-7 would be too big but they fit great! I use them for trail walking and everything else!",
M,"The glue shows, seems cheap.",https://www.amazon.com/gp/customer-reviews/R29MO7REPGZYTL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"3.0 "," the United States "," December 9, 2024",Size: 7.5-8Color: W20 | Purple,Verified Purchase,"The shoes are comfortable and they look fine, but the glue shows through parts of them and that makes them look really cheap.",
C,Love them!,https://www.amazon.com/gp/customer-reviews/RLUNPKWAO5AF5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 9, 2024",Size: 7.5-8Color: W20 | Pink Grey,Verified Purchase,So comfortable. Love the wide toe box.,
Cookie,Comfy and durable,https://www.amazon.com/gp/customer-reviews/R23FLQGQ5R4R0N/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 9, 2024",Size: 8.5Color: W20 | Pink Grey,Verified Purchase,This is my second pair. Great shoes. Use when hiking or distance walking.,
I Have Opinions,I live in these LOL,https://www.amazon.com/gp/customer-reviews/R374J8P4J7COMI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 9, 2024",Size: 7.5-8Color: W20 | Pink Grey,Verified Purchase,"My daily. Work, play, whatever. Although, once they wore down I found I needed new insoles (what a nightmare to find good ones anymore!) because going for walks was creating achy feet from not enough padding. That said, I own like 7 of these in different colors because I have inherited wide feet (thanks dad!) in a size 7.5 and I can't even wear shoes with ANY heel comfortably anymore. I need zero, VERY flat shoes now.",
Pamela S. Hayes,Super comfy!,https://www.amazon.com/gp/customer-reviews/R3A6BZRXK3WS0T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DTK7FK2M,"5.0 "," the United States "," December 8, 2024",Size: 8.5Color: W30 | Orange,Verified Purchase,Lots of toe room. Wore them to the airport and it was easy on and off for TSA. The orange color rubbed off on my white socks. No biggie. 🧡,
