评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Mostly Pleased,These are great.,https://www.amazon.com/gp/customer-reviews/R10AJKCYT9ZL18/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," June 14, 2021",Color: Gloss Black | Smoke,Verified Purchase,"I have two twenty years who lose sunglasses with regularity.  It's nice to have some to give them before they steal mine.  We had a small backyard party the other day, gave a pair to anyone who didn't have sunglasses.  My wife took off for a few days in Cancun and took two pairs with her so her expensive sunglasses wouldn't get stolen.  They are also quite good sunglasses.",2
Meghan Gotto,Love them!,https://www.amazon.com/gp/customer-reviews/R2G1IYXA8JA56Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," June 14, 2021",Color: Buffalo Plaid | Smoke,Verified Purchase,"Great product! I was expecting cheap and crappy products for the price, but was EXTREMELY surprised to find they are great quality!! Better than some expensive glasses I’ve had!",
JoeSacramento,Not great but cool for a large group,https://www.amazon.com/gp/customer-reviews/ROA2NDRY765XZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"4.0 "," the United States "," May 27, 2021",Color: Matte Black | Smoke,Verified Purchase,"The good - they look good like wayfarer, they are flexfit so they arms bend to fit the size of your head.  The bad - the y are 32mm size, which is typically for women on wayfarer as men sizes are 36mm.  They are not polarized, so they are really dark and hard to see your phone.",
Alison Bellows,Barely block any sun,https://www.amazon.com/gp/customer-reviews/R1GLPIAUAPPMGS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"2.0 "," the United States "," May 17, 2021",Color: Brilliant Rainbow | Smoke,Verified Purchase,Great looking but hardly provide any sun protection,
Become New,Not the same glasses as the 4 Pack!,https://www.amazon.com/gp/customer-reviews/RNERS05V975NB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"1.0 "," the United States "," May 16, 2021",Color: Matte Black | Smoke,Verified Purchase,These sunglasses are smaller and lighter shade than the 4 pack. They are not the same. Now I have 12 glasses that don’t fit and I wouldn’t even wear if they did. Too light and ugly.,
Young,Perfect,https://www.amazon.com/gp/customer-reviews/R3OX37ETEYSM47/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," May 15, 2021",Color: Navy Blue | Smoke,Verified Purchase,Perfect,
Ashly,Great product!,https://www.amazon.com/gp/customer-reviews/R1A7JQGT91BAOP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," May 13, 2021",Color: Navy Blue | Smoke,Verified Purchase,"These are amazing! Excellent quality, better than expected. I'm supper happy with my perchance and can't wait to give them to my fiance's groomsmen.",
Richard,"Better than expected, but poorly packaged and came damaged.",https://www.amazon.com/gp/customer-reviews/R2RAU8D45UL72J/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"2.0 "," the United States "," May 12, 2021",Color: Matte Black | Smoke,Verified Purchase,"Seem ok. They have a little nicer feel than I expected. The matte black have a soft touch. I got these as wedding prop for photos. 1 of my set of 10 came damaged, without the small silver accent, see photo. Luckily I only need 6 for me and the groomsmen. The glasses came with a small business card that said they would try working out any issues by contacting them through Amazon. I would have done that, but there doesn’t seem to be an easy way for me to contact them. Rather than me spending the time and going out of my way trying to learn how to contact them, I am leaving a poor review.",
Margery Greene,Perfect for wedding,https://www.amazon.com/gp/customer-reviews/R205XSWFO3VT79/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," May 4, 2021",Color: Gloss Black | Ice Blue Mirror,Verified Purchase,I purchased for the groom's men. They came quickly and are exactly as I expected.,
Toni,Great value,https://www.amazon.com/gp/customer-reviews/R1ZB6NAV3NEP7Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," April 29, 2021",Color: Classic Tortoise | Brown,Verified Purchase,Bought these for a beach bridal shower.  Great value for the price.  Everyone loved them and thought they were well made.,
Michael Fontenot,Great quality!,https://www.amazon.com/gp/customer-reviews/R3VUQY6GWEJZK9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," April 26, 2021",Color: Tangerine Orange | Smoke,Verified Purchase,"Bought for party favors. My favorite pair now, they are really great quality!",
Terrie Garcia,Great summer fun in the sun shades.,https://www.amazon.com/gp/customer-reviews/R2K5TH7X4ULJ3T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"4.0 "," the United States "," April 12, 2021",Color: Army Green | Smoke,Verified Purchase,"Perfect lake shades. Perfect on the go or hiking shades. Great price, good quality fun  and good looking shades. Customers love them.",
Carie Mcfarlin,Great Sunglasses!,https://www.amazon.com/gp/customer-reviews/R3U0H0DIKA2R39/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," April 10, 2021",Color: Matte Black + Wood Print | Smoke,Verified Purchase,"The glasses are great! Lightweight, comfortable, don’t fall off your face, and lenses are a light to medium gray so you can still see well.",
Andrea,give away sunglasses,https://www.amazon.com/gp/customer-reviews/RPWBQ1AE5W3ON/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," April 9, 2021",Color: Sterling Silver | Smoke,Verified Purchase,"great give away sunglasses. I bought these for guests who forgot their sunglasses, but I also like to pack these for vacation. It's nice to not have to worry about losing expensive sunglasses!",
Tiff,Great for gifts,https://www.amazon.com/gp/customer-reviews/R149H1QRNCCFAF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," March 29, 2021",Color: Matte Black | Smoke,Verified Purchase,Great quality and fast shipping used for party gifts,
Tessa Blackwood,One time use!,https://www.amazon.com/gp/customer-reviews/R3996BAQM80MTQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"1.0 "," the United States "," March 23, 2021",Color: Sterling Silver | Smoke,Verified Purchase,These are party favors type of glasses. One time use,
Adam C.,Surprisingly good,https://www.amazon.com/gp/customer-reviews/R205E05CHUVV8K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," February 23, 2021",Color: Gloss Black | Smoke,Verified Purchase,Expected much lower quality Am very happy with the sunglasses They don’t seem cheap,
FAISAL D.,On point!!,https://www.amazon.com/gp/customer-reviews/R2PMUVGROS1W05/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," January 27, 2021",Color: Army Green | Smoke,Verified Purchase,Met and exceeded expectations great buy!,
Lucio Duran,Amazing value,https://www.amazon.com/gp/customer-reviews/R1XDY5WS3FN4QK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," January 22, 2021",Color: Matte Black + Wood Print | Smoke,Verified Purchase,Great quality,
Mel,WAS A SUCESS,https://www.amazon.com/gp/customer-reviews/R7BMH9ONX59C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," November 13, 2020",Color: Matte Black + Wood Print | Smoke,Verified Purchase,My fiance loved them and gifted them to his groomsmen and they loved it and can't wait to wear on our wedding day :),
Amazon Customer,Great quality for the price!!,https://www.amazon.com/gp/customer-reviews/R310ZV61BBIETD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," October 22, 2020",Color: Imperial Maroon | Smoke,Verified Purchase,I have bought these multiple times in different colors for my daughter's cheer team.  They are great quality for the price!,
J Luxton,Nice glasses!,https://www.amazon.com/gp/customer-reviews/R19ICHE61GY9TM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," October 22, 2020",Color: Brilliant Rainbow | Smoke,Verified Purchase,Great quality! Very happy with the purchase!,
picky person,Excellent value!,https://www.amazon.com/gp/customer-reviews/RIXVALNML0MQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," October 18, 2020",Color: Gloss Black | Clear Lens,Verified Purchase,"These are perfect if you need to buy the glasses in bulk.  They are very well made, come individually wrapped and in a very sturdy box!",
Amazon Customer,Better than expected,https://www.amazon.com/gp/customer-reviews/R313VL77CD4RF0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," September 19, 2020",Color: Matte Black + Wood Print | Smoke,Verified Purchase,These glasses were better quality than I expected for the price. I am definitely satisfied and now I have several pairs of backups for my wife and I.,
Natalie Peebles,Great product,https://www.amazon.com/gp/customer-reviews/R2FVS8XT8169L9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," September 9, 2020",Color: Gloss Black | Smoke,Verified Purchase,Worked out great for what I needed them for.,
DS,Great sunglasses!,https://www.amazon.com/gp/customer-reviews/R1162EUTZR34M0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," September 8, 2020",Color: Transparent Floral | Smoke,Verified Purchase,"Great sunglasses. I really like how the hinges have Flex Fit Springs, It makes for a perfect fit.",
Monique Nicole Stepter,It's a great product. I love it,https://www.amazon.com/gp/customer-reviews/R17THPH159WCAM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," September 2, 2020",Color: Gloss Black | Smoke,Verified Purchase,It's a great product. I love it,
Molly Mackey,Amazing quality,https://www.amazon.com/gp/customer-reviews/R305BJQKKIOTEL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," August 29, 2020",Color: Gloss Black | Ice Blue Mirror,Verified Purchase,The quality of these glasses is amazing. I have purchased 6 dozen and they are all so good. Last forever and look fantastic. Thank you!!,
Michelle Poland,Perfect,https://www.amazon.com/gp/customer-reviews/R3G96C7XJK4K4N/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," August 25, 2020",Color: Buffalo Plaid | Smoke,Verified Purchase,You don’t even know how excited I was to find a bulk of these for the price I did. We have a girls trip planned every year and already planning 2021’s trip and these fit in perfectly for the theme. They are so cute and a nice quality.,
